,metanetx.chemical
tre_c,metanetx.chemical:MNXM198
tre_e,metanetx.chemical:MNXM198
glc-D_e,metanetx.chemical:MNXM41
trp-L_c,metanetx.chemical:MNXM94
indole_c,metanetx.chemical:MNXM377
u3hga_c,metanetx.chemical:MNXM88424
uamag_c,metanetx.chemical:MNXM722734
ugmd_c,metanetx.chemical:MNXM1446
uacmam_c,metanetx.chemical:MNXM932
u3aga_c,metanetx.chemical:MNXM2157
uaccg_c,metanetx.chemical:MNXM1688
uama_c,metanetx.chemical:MNXM722770
uamr_c,metanetx.chemical:MNXM785
udpgal_c,metanetx.chemical:MNXM65
udpgalfur_c,metanetx.chemical:MNXM2158
udpglcur_c,metanetx.chemical:MNXM87
uppg3_c,metanetx.chemical:MNXM414
val-L_c,metanetx.chemical:MNXM199
xyl-D_c,metanetx.chemical:MNXM90288
xylu-D_c,metanetx.chemical:MNXM597
12ppd-S_e,metanetx.chemical:MNXM1255
15dap_e,metanetx.chemical:MNXM943
26dap-M_e,metanetx.chemical:MNXM529
2ddglcn_e,metanetx.chemical:MNXM440
3hcinnm_e,metanetx.chemical:MNXM1799
3hpppn_e,metanetx.chemical:MNXM1634
4abut_e,metanetx.chemical:MNXM192
ac_e,metanetx.chemical:MNXM26
acac_e,metanetx.chemical:MNXM154
acald_e,metanetx.chemical:MNXM75
acgam_e,metanetx.chemical:MNXM143
acmana_e,metanetx.chemical:MNXM749
